Valor K;Comparaciones;Asignaciones
3;1183234;1090451
4;1185465;1090578
5;1176699;1084040
6;1179584;1089351
7;1180900;1091107
8;1183847;1096233
9;1195340;1103375
10;1203261;1109369
11;1207641;1119640
12;1221077;1127669
13;1225872;1135118
14;1236505;1147303
15;1246294;1156767
16;1257319;1165505
17;1268281;1178091
18;1277567;1188514
19;1286813;1199863
20;1302388;1212392
21;1320652;1224241
22;1330733;1236902
23;1346985;1250246
24;1353352;1260202
25;1367365;1273038
26;1381907;1286846
27;1393187;1299210
28;1405770;1312714
29;1422673;1326973
30;1429912;1336864
